Graph ID,Vertices,Edges,Prim Cost,Prim Time (ms),Prim Operations,Kruskal Cost,Kruskal Time (ms),Kruskal Operations
1,5,7,16,49.06,34,16,3.61,74
2,4,5,6,0.26,23,6,0.07,52
101,10,12,58,0.1,64,58,0.1,158
102,12,18,69,0.35,92,69,2.46,218
103,15,30,74,0.84,131,74,0.19,271
201,20,29,143,0.16,143,143,0.99,328
202,25,39,184,0.22,188,184,0.33,423
203,30,61,219,0.28,267,219,4.5,520
